,Lat,Long,HOUR,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION,Risk_Category
97,42.31841729340584,-71.04040275320301,12,2023-12-06 12:10:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
98,42.35231142441357,-71.06370557218405,17,2023-07-12 17:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
99,42.29204024501259,-71.07544577997989,0,2023-07-13 00:52:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
100,42.36273726117303,-71.06084514153375,10,2023-10-21 10:57:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
101,42.33110089705555,-71.10870414100914,22,2023-12-06 22:38:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
102,42.31996713977636,-71.08715081433111,16,2023-12-06 16:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
103,42.376631183831805,-71.05593235449719,15,2024-01-03 15:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
104,42.295571375524,-71.0615213358682,10,2024-01-09 10:27:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
105,42.34128702104515,-71.05467980204799,0,2023-10-01 00:01:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
106,42.2723777179869,-71.070808353864,22,2024-02-18 22:48:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
107,42.33954152609665,-71.06940928222296,15,2024-05-04 15:32:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
108,42.362428387234914,-71.06054917018454,20,2024-06-28 20:33:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
109,42.31925801602777,-71.10003284620421,0,2024-05-21 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
110,42.297554856340426,-71.05970968687002,0,2024-06-06 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
111,42.33954152609665,-71.06940928222296,15,2024-06-05 15:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
112,42.28482533772862,-71.09137437366408,9,2024-05-21 09:24:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
113,42.31162789704465,-71.0809435399742,9,2024-05-30 09:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
114,42.32866239451696,-71.08563458516488,12,2024-06-28 12:11:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
115,42.37829156271568,-71.05387062953969,18,2024-07-17 18:43:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
116,42.28107063377519,-71.06925147428039,8,2024-05-03 08:20:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
117,42.31688089860136,-71.08874133387532,11,2024-05-04 11:13:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
